REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,1,2,26,16,41,4,13,0,1,15,1,2,0,13,11,6,14,4,15,12,12,7,10,2,4,3,3,118,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,10,0,10,19,35,6,10,3,0,16,3,11,6,4,8,5,15,7,12,7,10,5,4,2,3,0,0,99,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,2,1,16,14,35,5,18,1,2,17,3,1,1,13,14,6,9,12,9,9,5,9,7,5,6,2,1,109,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,3,3,13,17,42,5,20,1,2,21,3,0,0,12,11,13,9,6,12,9,14,14,8,7,8,0,1,124,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,4,0,15,18,52,5,11,1,2,19,3,0,0,11,10,13,12,8,9,13,12,12,5,8,6,2,2,123,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,5,0,12,20,42,5,17,0,1,20,1,1,0,10,13,5,15,7,8,8,15,9,14,7,1,2,2,117,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,6,1,20,15,45,9,12,2,0,23,2,0,1,10,15,6,20,5,11,14,12,8,9,8,8,0,0,127,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,7,0,12,12,58,6,14,6,0,19,6,2,0,13,17,12,11,5,12,14,8,12,9,7,3,1,1,127,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,8,1,19,14,56,3,16,1,2,18,3,0,0,17,15,11,14,9,10,15,14,4,7,7,5,1,1,130,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,ARRAU-MENDEZ,ESCUELA ARRAU MENDEZ,9,2,21,20,62,6,19,0,4,37,4,1,2,13,17,11,12,13,16,12,19,12,15,8,12,3,5,171,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,1,1,39,26,60,4,27,0,0,18,0,0,2,22,32,17,23,18,18,10,7,10,10,3,1,0,2,175,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,2,2,22,23,71,4,23,1,4,21,5,4,2,25,24,23,15,12,15,8,15,6,13,4,3,1,0,171,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,3,1,14,23,56,8,33,2,1,16,3,0,1,16,25,18,16,13,14,9,10,7,12,5,5,2,1,154,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,4,1,22,24,63,9,27,2,2,26,4,14,13,14,16,19,30,16,14,7,9,5,10,0,5,1,2,176,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,5,1,27,54,57,11,26,1,1,13,2,27,36,13,11,17,40,8,10,6,11,5,5,1,1,1,0,191,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,BUENOS AIRES,ESCUELA JOSE MATTA CALLEJON,6,0,12,22,37,8,8,0,0,7,0,3,2,10,12,18,10,7,7,7,5,5,5,1,2,0,0,94,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,1M,1,4,13,35,6,23,0,0,13,0,1,1,2,2,3,3,4,3,5,19,8,23,2,14,1,4,95,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,1V,2,7,25,34,11,19,0,3,9,3,1,3,2,5,6,9,3,4,20,5,21,8,17,1,4,1,110,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,2M,0,4,13,37,16,20,2,2,11,4,2,2,3,1,2,3,5,4,1,28,2,19,1,18,0,4,105,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,2V,2,9,19,22,6,16,2,1,12,3,0,2,2,4,2,9,4,6,15,6,17,2,16,2,2,0,89,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,3M,2,5,13,60,8,13,3,0,12,3,6,0,3,5,4,3,3,3,0,32,3,27,2,13,0,12,116,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,3V,2,6,15,19,9,11,0,2,16,2,1,2,2,4,3,1,4,5,21,5,18,2,8,0,3,0,80,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,4M-7,4,10,22,80,16,25,2,1,25,3,4,1,7,5,7,20,8,42,12,33,10,21,3,7,1,4,185,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL MAULE,CATILLO,COLEGIO ALBERTO MOLINA CASTILLO,4V,0,7,16,43,7,11,0,1,10,1,2,2,2,3,0,4,9,8,17,4,26,6,9,2,1,0,95,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
